"ad_id","xyz_campaign_id","fb_campaign_id","age","gender","interest","impressions","clicks","spent","total_conversion","approved_conversion"
708746.0,916.0,103916.0,"30-34","M",15.0,7350.0,1.0,1.429999948,2.0,1.0
708749.0,916.0,103917.0,"30-34","M",16.0,17861.0,2.0,1.820000023,2.0,0.0
708771.0,916.0,103920.0,"30-34","M",20.0,693.0,0.0,0.0,1.0,0.0
708815.0,916.0,103928.0,"30-34","M",28.0,4259.0,1.0,1.25,1.0,0.0
708818.0,916.0,103928.0,"30-34","M",28.0,4133.0,1.0,1.289999962,1.0,1.0
708820.0,916.0,103929.0,"30-34","M",29.0,1915.0,0.0,0.0,1.0,1.0
708889.0,916.0,103940.0,"30-34","M",15.0,15615.0,3.0,4.769999981,1.0,0.0
708895.0,916.0,103941.0,"30-34","M",16.0,10951.0,1.0,1.269999981,1.0,1.0
708953.0,916.0,103951.0,"30-34","M",27.0,2355.0,1.0,1.5,1.0,0.0
708958.0,916.0,103952.0,"30-34","M",28.0,9502.0,3.0,3.159999967,1.0,0.0
708979.0,916.0,103955.0,"30-34","M",31.0,1224.0,0.0,0.0,1.0,0.0
709023.0,916.0,103962.0,"30-34","M",7.0,735.0,0.0,0.0,1.0,0.0
709038.0,916.0,103965.0,"30-34","M",16.0,5117.0,0.0,0.0,1.0,0.0
709040.0,916.0,103965.0,"30-34","M",16.0,5120.0,0.0,0.0,1.0,0.0
709059.0,916.0,103968.0,"30-34","M",20.0,14669.0,7.0,10.28000021,1.0,1.0
709105.0,916.0,103976.0,"30-34","M",28.0,1241.0,0.0,0.0,1.0,1.0
709115.0,916.0,103978.0,"30-34","M",30.0,2305.0,1.0,0.569999993,1.0,0.0
709124.0,916.0,103979.0,"30-34","M",31.0,1024.0,0.0,0.0,1.0,1.0
709179.0,916.0,103988.0,"35-39","M",15.0,4627.0,1.0,1.690000057,1.0,0.0
709183.0,916.0,103989.0,"35-39","M",16.0,21026.0,4.0,4.630000114,2.0,1.0
709320.0,916.0,104012.0,"35-39","M",15.0,1422.0,0.0,0.0,1.0,1.0
709323.0,916.0,104012.0,"35-39","M",15.0,7132.0,2.0,2.609999895,1.0,0.0
709326.0,916.0,104013.0,"35-39","M",16.0,12190.0,2.0,3.049999952,1.0,0.0
709327.0,916.0,104013.0,"35-39","M",16.0,12193.0,2.0,3.059999943,1.0,1.0
709328.0,916.0,104013.0,"35-39","M",16.0,3332.0,0.0,0.0,1.0,1.0
709455.0,916.0,104034.0,"35-39","M",7.0,559.0,0.0,0.0,1.0,0.0
709544.0,916.0,104049.0,"35-39","M",29.0,7440.0,2.0,2.980000019,1.0,1.0
709614.0,916.0,104061.0,"40-44","M",16.0,19113.0,4.0,5.5200001,1.0,0.0
709756.0,916.0,104085.0,"40-44","M",16.0,10976.0,2.0,1.690000057,1.0,1.0
709761.0,916.0,104085.0,"40-44","M",16.0,2861.0,0.0,0.0,1.0,0.0
709899.0,916.0,104108.0,"40-44","M",15.0,1398.0,0.0,0.0,1.0,1.0
709901.0,916.0,104109.0,"40-44","M",16.0,23817.0,7.0,8.470000148,1.0,1.0
710045.0,916.0,104133.0,"45-49","M",16.0,47224.0,12.0,15.82000017,1.0,0.0
710088.0,916.0,104140.0,"45-49","M",24.0,2283.0,1.0,1.470000029,1.0,0.0
710360.0,916.0,104185.0,"45-49","M",21.0,2182.0,1.0,1.529999971,1.0,1.0
710477.0,916.0,104205.0,"30-34","F",16.0,2654.0,0.0,0.0,1.0,1.0
710480.0,916.0,104205.0,"30-34","F",16.0,57665.0,14.0,18.06999969,1.0,1.0
710571.0,916.0,104220.0,"30-34","F",32.0,3091.0,1.0,1.610000014,1.0,1.0
710617.0,916.0,104228.0,"30-34","F",15.0,5014.0,1.0,1.190000057,1.0,0.0
710623.0,916.0,104229.0,"30-34","F",16.0,38726.0,7.0,9.220000267,1.0,0.0
710628.0,916.0,104230.0,"30-34","F",18.0,1473.0,0.0,0.0,1.0,0.0
710682.0,916.0,104239.0,"30-34","F",27.0,1186.0,0.0,0.0,1.0,0.0
710763.0,916.0,104252.0,"30-34","F",15.0,5369.0,1.0,1.50999999,1.0,0.0
710836.0,916.0,104265.0,"30-34","F",29.0,22221.0,7.0,9.430000067,1.0,1.0
710867.0,916.0,104270.0,"30-34","F",63.0,1185.0,0.0,0.0,1.0,0.0
710880.0,916.0,104272.0,"30-34","F",65.0,13019.0,5.0,6.960000038,1.0,0.0
710961.0,916.0,104285.0,"35-39","F",25.0,2508.0,1.0,1.220000029,1.0,0.0
710968.0,916.0,104287.0,"35-39","F",27.0,5864.0,2.0,2.799999952,1.0,1.0
711217.0,916.0,104328.0,"35-39","F",20.0,2783.0,1.0,1.600000024,1.0,0.0
711623.0,916.0,104396.0,"40-44","F",15.0,3812.0,1.0,1.129999995,2.0,1.0
