"year","category","nominee","movie","winner","id"
2006.0,"actress in a supporting role","Abigail Breslin","Little Miss Sunshine","false",1
1984.0,"actor in a supporting role","Adolph Caesar","A Soldier's Story","false",2
2006.0,"actress in a supporting role","Adriana Barraza","Babel","false",3
2002.0,"actor in a leading role","Adrien Brody","The Pianist","true",4
1942.0,"actress in a supporting role","Agnes Moorehead","The Magnificent Ambersons","false",5
1944.0,"actress in a supporting role","Agnes Moorehead","Mrs. Parkington","false",6
1948.0,"actress in a supporting role","Agnes Moorehead","Johnny Belinda","false",7
1964.0,"actress in a supporting role","Agnes Moorehead","Hush...Hush, Sweet Charlotte","false",8
1936.0,"actor in a supporting role","Akim Tamiroff","The General Died at Dawn","false",9
1943.0,"actor in a supporting role","Akim Tamiroff","For Whom the Bell Tolls","false",10
1972.0,"actor in a supporting role","Al Pacino","The Godfather","false",11
1973.0,"actor","Al Pacino","Serpico","false",12
1974.0,"actor","Al Pacino","The Godfather Part II","false",13
1975.0,"actor","Al Pacino","Dog Day Afternoon","false",14
1979.0,"actor in a leading role","Al Pacino","...And Justice for All","false",15
1990.0,"actor in a supporting role","Al Pacino","Dick Tracy","false",16
1992.0,"actor in a leading role","Al Pacino","Scent of a Woman","true",17
1992.0,"actor in a supporting role","Al Pacino","Glengarry Glen Ross","false",18
2004.0,"actor in a supporting role","Alan Alda","The Aviator","false",19
1966.0,"actor","Alan Arkin","The Russians Are Coming The Russians Are Coming","false",20
1968.0,"actor","Alan Arkin","The Heart Is a Lonely Hunter","false",21
2006.0,"actor in a supporting role","Alan Arkin","Little Miss Sunshine","true",22
2012.0,"actor in a supporting role","Alan Arkin","Argo","false",23
1968.0,"actor","Alan Bates","The Fixer","false",24
1940.0,"actor in a supporting role","Albert Basserman","Foreign Correspondent","false",25
1987.0,"actor in a supporting role","Albert Brooks","Broadcast News","false",26
1963.0,"actor","Albert Finney","Tom Jones","false",27
1974.0,"actor","Albert Finney","Murder on the Orient Express","false",28
1983.0,"actor in a leading role","Albert Finney","The Dresser","false",29
1984.0,"actor in a leading role","Albert Finney","Under the Volcano","false",30
